task_name,name,description,increasing_parameters,decreasing_parameters,deviating_parameters
C23,C23-S1,Forget to place connecting reinforcement,,MRd,
C23,C23-S2,Construct connections incorrectly,,MRd,
C25,C25-S1,Forget to connect slab units with other structures,,MRd,
C25,C25-S2,Construct connections incorrectly,,MRd,
C26,C26-S1,Forget to pour into joints,,MRd,
C26,C26-S2,Pour into wrong type of concrete,,MRd,
C26,C26-S3,Pour into less than required concrete,,MRd,
C29,C29-S1,Consult design and specifications wrongly,,,Med
C31,C31-S1,Set out reinforcement dimensions higher,MRd,,
C31,C31-S2,Set out reinforcement dimensions lower,,MRd,
C32,C32-S1,Place reinforcement wrong,,,MRd
C33,C33-S1,Bind welding-mesh reinforcement wrong increase resistence,MRd,,
C33,C33-S2,Bind welding-mesh reinforcement wrong decrease resistence,,MRd,
C34,C34-S1,Bind additional reinforcement wrong increase resistence,MRd,,
C34,C34-S2,Bind additional reinforcement wrong decrease resistence,,MRd,
C35,C35-S1,Consult design and specifications wrongly,,,Med
C36,C36-S1,Prepare concrete wrong to increase concerete strength,MRd,,
C36,C36-S2,Prepare concrete wrong to decrease concerete strength,,MRd,
C39,C39-S1,Pour more concrete to floor area,Med,,
C39,C39-S2,Pour less concrete to floor area,,Med,
C41,C41-S1,Cure and finish concrete wrong to increase strength,MRd,,
C41,C41-S2,Cure and finish concrete wrong to decrease strength,,MRd,
C42,C42-S1,Remove supporting structures,,,Med
